question_id,dataset_source,task_complexity,complexity_score,acc_per_1k_tokens_adaptive,acc_per_1k_tokens_single-agent,acc_per_1k_tokens_static_multi-agent,is_correct_adaptive,is_correct_single-agent,is_correct_static_multi-agent,routing_decision_adaptive,routing_decision_single-agent,routing_decision_static_multi-agent,token_cost_adaptive,token_cost_single-agent,token_cost_static_multi-agent
DDXPLUS_678171,DDXPlus,Moderate,0.3343,1.5198,1.5198,0.266,1,1,1,solo,solo,group-3,658,658,3759
DDXPLUS_678394,DDXPlus,Moderate,0.3426,2.7027,2.7027,0.2533,1,1,1,solo,solo,group-3,370,370,3948
DDXPLUS_679080,DDXPlus,Complex,0.4482,0.4888,2.193,0.2607,1,1,1,group-2,solo,group-3,2046,456,3836
DDXPLUS_681427,DDXPlus,Complex,0.7433,0.0,0.0,0.0,0,0,0,group-3,solo,group-3,4983,758,4983
DDXPLUS_681850,DDXPlus,Complex,0.5176,0.4153,1.8519,0.2283,1,1,1,group-2,solo,group-3,2408,540,4380
DDXPLUS_682239,DDXPlus,Moderate,0.3291,2.7701,2.7701,0.2682,1,1,1,solo,solo,group-3,361,361,3729
DDXPLUS_682327,DDXPlus,Complex,0.4887,0.3759,1.4793,0.2102,1,1,1,group-2,solo,group-3,2660,676,4758
DDXPLUS_682601,DDXPlus,Moderate,0.2332,0.0,0.0,0.2727,0,0,1,solo,solo,group-3,346,346,3667
DDXPLUS_682760,DDXPlus,Simple,0.0868,0.0,0.0,0.0,0,0,0,solo,solo,group-3,368,368,3103
DDXPLUS_68351,DDXPlus,Complex,0.545,0.0,1.4663,0.0,0,1,0,group-2,solo,group-3,2298,682,4215
DDXPLUS_683794,DDXPlus,Moderate,0.1348,4.2017,4.2017,0.3265,1,1,1,solo,solo,group-3,238,238,3063
DDXPLUS_684095,DDXPlus,Moderate,0.2258,0.0,0.0,0.2889,0,0,1,solo,solo,group-3,261,261,3461
DDXPLUS_685212,DDXPlus,Complex,0.5699,0.4052,1.7513,0.2237,1,1,1,group-2,solo,group-3,2468,571,4470
DDXPLUS_68573,DDXPlus,Complex,0.4898,0.4608,1.7361,0.2488,1,1,1,group-2,solo,group-3,2170,576,4019
DDXPLUS_688341,DDXPlus,Complex,0.3747,1.5221,1.5221,0.0,1,1,0,solo,solo,group-3,657,657,4065
DDXPLUS_689899,DDXPlus,Complex,0.4234,0.4591,1.845,0.2478,1,1,1,group-2,solo,group-3,2178,542,4035
DDXPLUS_690005,DDXPlus,Moderate,0.2916,2.8169,2.8169,0.2657,1,1,1,solo,solo,group-3,355,355,3763
DDXPLUS_690179,DDXPlus,Complex,0.3774,1.4409,1.4409,0.2438,1,1,1,solo,solo,group-3,694,694,4101
DDXPLUS_691534,DDXPlus,Complex,0.4133,0.469,1.6181,0.2521,1,1,1,group-2,solo,group-3,2132,618,3966
DDXPLUS_691820,DDXPlus,Moderate,0.2942,0.0,0.0,0.2708,0,0,1,solo,solo,group-3,345,345,3693
DDXPLUS_69216,DDXPlus,Moderate,0.3338,1.5798,1.5798,0.0,1,1,0,solo,solo,group-3,633,633,3830
DDXPLUS_693292,DDXPlus,Complex,0.4327,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2328,581,4259
DDXPLUS_693591,DDXPlus,Complex,0.4959,0.4333,1.4306,0.2365,1,1,1,group-2,solo,group-3,2308,699,4229
DDXPLUS_69404,DDXPlus,Complex,0.5133,0.4196,0.0,0.0,1,0,0,group-2,solo,group-3,2383,563,4344
DDXPLUS_695296,DDXPlus,Complex,0.7653,0.194,1.2674,0.194,1,1,1,group-3,solo,group-3,5154,789,5154
DDXPLUS_695365,DDXPlus,Complex,0.5223,0.4329,1.7422,0.0,1,1,0,group-2,solo,group-3,2310,574,4233
DDXPLUS_69681,DDXPlus,Complex,0.5706,0.4625,1.8484,0.2493,1,1,1,group-2,solo,group-3,2162,541,4011
DDXPLUS_696937,DDXPlus,Complex,0.371,2.2676,2.2676,0.2586,1,1,1,solo,solo,group-3,441,441,3867
DDXPLUS_697205,DDXPlus,Complex,0.4601,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2323,578,4254
DDXPLUS_697992,DDXPlus,Complex,0.3573,0.0,0.0,0.0,0,0,0,solo,solo,group-3,411,411,3990
DDXPLUS_700187,DDXPlus,Moderate,0.2134,4.5249,4.5249,0.3145,1,1,1,solo,solo,group-3,221,221,3180
